Rx 0.266117 2 1 3 1054 515673
Rx 0.266117 2 1 3 1054 495673
Rx 0.266117 2 1 3 1054 475673
Rx 0.266117 2 1 3 1054 455673
Rx 0.266117 2 1 3 1054 435673
Rx 0.266217 2 1 3 1054 515673
Rx 0.266217 2 1 3 1054 495673
Rx 0.266217 2 1 3 1054 475673
Rx 0.266217 2 1 3 1054 455673
Rx 0.266217 2 1 3 1054 435673
Rx 0.266317 2 1 3 1054 515673
Rx 0.266317 2 1 3 1054 495673
Rx 0.266317 2 1 3 1054 475673
Rx 0.266317 2 1 3 1054 455673
Rx 0.266317 2 1 3 1054 435673
Rx 0.266417 2 1 3 1054 515673
Rx 0.266417 2 1 3 1054 495673
Rx 0.266417 2 1 3 1054 475673
Rx 0.266417 2 1 3 1054 455673
Rx 0.266417 2 1 3 1054 435673
Rx 0.266517 2 1 3 1054 515673
Rx 0.266517 2 1 3 1054 495673
Rx 0.266517 2 1 3 1054 475673
Rx 0.266517 2 1 3 1054 455673
Rx 0.266517 2 1 3 1054 435673
Rx 0.266617 2 1 3 1054 515673
Rx 0.266617 2 1 3 1054 495673
Rx 0.266617 2 1 3 1054 475673
Rx 0.266617 2 1 3 1054 455673
Rx 0.266617 2 1 3 1054 435673
Rx 0.266717 2 1 3 1054 515673
Rx 0.266717 2 1 3 1054 495673
Rx 0.266717 2 1 3 1054 475673
Rx 0.266717 2 1 3 1054 455673
Rx 0.266717 2 1 3 1054 435673
Rx 0.266817 2 1 3 1054 515673
Rx 0.266817 2 1 3 1054 495673
Rx 0.266817 2 1 3 1054 475673
Rx 0.266817 2 1 3 1054 455673
Rx 0.266817 2 1 3 1054 435673
Rx 0.266917 2 1 3 1054 515673
Rx 0.266917 2 1 3 1054 495673
Rx 0.266917 2 1 3 1054 475673
Rx 0.266917 2 1 3 1054 455673
Rx 0.266917 2 1 3 1054 435673
Rx 0.267017 2 1 3 1054 515673
Rx 0.267017 2 1 3 1054 495673
Rx 0.267017 2 1 3 1054 475673
Rx 0.267017 2 1 3 1054 455673
Rx 0.267017 2 1 3 1054 435673
Rx 0.267117 2 1 3 1054 515673
